ru_word,en_word,transcription,example_en,example_ru
убийство,assassination,[əˌsæsɪˈneɪʃən],"Trafficking in nuclear materials, assassination, conspiracy.","Перевоз радиоактивных материалов, убийство, заговор."
нападение,assault,[əˈsɔ:lt],"Armed robbery, assault and battery.","Вооружённое ограбление, нападение и избиение."
нападать,assault,[əˈsɔ:lt],"Armed robbery, assault and battery.","Вооружённое ограбление, нападение и избиение."
собираться,assemble,[əˈsembl],The message: You will not assemble.,Послание было таково: мы не дадим вам собираться.
ассамблея,assembly,[əˈsemblɪ],I commend the report to the Assembly.,Я рекомендую этот доклад Ассамблее.
утверждать,assert,[əˈsə:t],Governments assert that WikiLeaks’ reporting harms security.,"Правительства утверждают, что публикуемые WikiLeaks материалы наносят ущерб безопасности."
утверждение,assertion,[əˈsə:ʃən],But neither assertion is true.,Однако ни одно из этих утверждений не верно.
оценивать,assess,[əˈses],While we assess our situation.,А мы пока оценим ситуацию.
оценка,assessment,[əˈsesmənt],Incomplete knowledge complicates this assessment.,Дополнительные сложности в выполнении такой оценки существуют из-за неполных знаний.
актив,asset,[ˈæset],Reserve for capital asset fund,Резерв для фонда капитальных активов
назначать,assign,[əˈsaɪn],Assign permissions to a group,Назначение разрешений группе
назначение,assignment,[əˈsaɪnmənt],Is position worker assignment active,Активно ли назначение работника на должность
помогать,assist,[əˈsɪst],Are you able to assist in this matter?”,Вы можете нам в этом помочь?»
помощь,assistance,[əˈsɪstəns],Ongoing projects and donor assistance,Текущие проекты и помощь доноров
помощник,assistant,[əˈsɪstənt],The all-knowing executive assistant.,Всезнающий помощник исполнительного директора.
связывать,associate,[ə'səusɪət],Associate details with sales items.,Связывание сведений с номенклатурами продажи.
